"Body Type (s=star, p=planet)",Name,Mass (kg),Radius (km),Orbit SMA (km),Orbit Mean Velocity (km/s),Inclination (deg)
s,Sun,1.99E+030,696342,0,0,0
p,Mercury,3.3E+023,2439.5,57900000,47.4,7
p,Venus,4.87E+024,6052,108000000,35,3.4
p,Earth,5.97E+024,6378,150000000,29.8,0
p,Mars,6.42E+023,3396,228000000,24.1,1.9
p,Jupiter,1.9E+027,71492,779000000,13.1,1.3
p,Saturn,5.68E+026,60268,1430000000,9.7,2.5
p,Uranus,8.68E+025,25559,2870000000,6.8,0.8
p,Neptune,1.02E+026,24764,4500000000,5.4,1.8
p,Pluto,1.46E+022,1185,5910000000,4.7,17.2
